Object	Object type	Related Gene	Topological rank	Relevance rank	Expression rank
hypothetical protein LOC79081 [Homo sapiens]	Protein	C11orf48	2	1	1.010478312
chromosome 11 open reading frame 48 [Homo sapiens]	Protein	C11orf48	2	1	1.010478312
major histocompatibility complex, class II, DQ beta 1 precursor [Homo sapiens]	Protein	HLA-DQB1	3	0	0.649804053
bolA-like 1 [Homo sapiens]	Protein	BOLA1	2	1	0.896566676
chromosome 6 open reading frame 48 [Homo sapiens]	Protein	C6orf48	2	0	1.043436143
DEK oncogene (DNA binding) [Homo sapiens]	Protein	DEK	31	1	1.054200237
RAB, member RAS oncogene family-like 5 [Homo sapiens]	Protein	RABL5	2	1	1.232506601
ATPase, Ca++ transporting, fast twitch 1 isoform b [Homo sapiens]	Protein	ATP2A1	8	3	2.680014244
tumor necrosis factor (ligand) superfamily, member 13b [Homo sapiens]	Protein	TNFSF13B	6	1	0.39468845
prothymosin, alpha (gene sequence 28) [Homo sapiens]	Protein	PTMA	33	1	1.016247912
Uncharacterized hypothalamus protein HT010.	Protein		1	0	0
A-kinase anchor protein 10 precursor [Homo sapiens]	Protein	AKAP10	7	1	0.842441383
peroxisomal enoyl-coenzyme A hydratase-like protein [Homo sapiens]	Protein	ECH1	8	1	1.008832868
catechol-O-methyltransferase isoform MB-COMT [Homo sapiens]	Protein	COMT	13	1	0.900818861
nucleolar complex associated 4 homolog [Homo sapiens]	Protein	NOC4L	12	1	1.080040449
chromobox homolog 4 [Homo sapiens]	Protein	CBX4	11	4	0.890343445
nuclear receptor subfamily 1, group H, member 3 [Homo sapiens]	Protein	NR1H3	10	1	0.98469671
chromodomain helicase DNA binding protein 6 [Homo sapiens]	Protein	CHD6	3	1	0.678856602
cytoskeleton associated protein 2 [Homo sapiens]	Protein	CKAP2	2	1	0.616165951
zinc finger protein 292 isoform 1 [Homo sapiens]	Protein	ZNF292	2	1	0.900281081
sine oculis homeobox homolog 1 [Homo sapiens]	Protein	SIX1	11	1	2.682224076
KH domain containing, RNA binding, signal transduction associated 3 [Homo sapiens]	Protein	KHDRBS3	23	1	1.588155702
amyloid beta A4 precursor protein-binding, family B, member 1 isoform E9 [Homo sapiens]	Protein	APBB1	14	2	1.142499692
protein phosphatase 4 (formerly X), catalytic subunit [Homo sapiens]	Protein	PPP4C	29	1	0.9330265
signal transducer and activator of transcription 6 [Homo sapiens]	Protein	STAT6	13	0	0.918686684
pleckstrin homology-like domain, family A, member 1 [Homo sapiens]	Protein	PHLDA1	7	1	1.041824037
hepatoma-derived growth factor-related protein 2 isoform 2 [Homo sapiens]	Protein	HDGF2	2	3	0.709250508
cyclin L2 isoform B [Homo sapiens]	Protein	CCNL2	6	1	0.922553983
CD3E antigen, epsilon polypeptide associated protein [Homo sapiens]	Protein	CD3EAP	4	0	1.191934335
CD3e molecule, epsilon associated protein [Homo sapiens]	Protein	CD3EAP	4	0	1.191934335
transcription factor IIB [Homo sapiens]	Protein	GTL3	2	2	0.875910124
H2B histone family, member J [Homo sapiens]	Protein	HIST1H2BH	2	0	0.760087216
asparaginyl-tRNA synthetase [Homo sapiens]	Protein	NARS	6	2	1.05072142
CDNA FLJ10035 fis, clone HEMBA1000919.	Protein		1	0	0
stromal interaction molecule 1 precursor [Homo sapiens]	Protein	STIM1	3	0	1.306631927
cyclin D2 [Homo sapiens]	Protein	CCND2	13	2	0.820729954
GATA zinc finger domain containing 2B [Homo sapiens]	Protein	GATAD2B	6	2	1.035486908
CDC-like kinase 2 isoform 2 [Homo sapiens]	Protein	CLK2	6	1	1.011400091
talin 2 [Homo sapiens]	Protein	TLN2	3	0	1.604606286
AT-rich interactive domain-containing protein 1B	Protein		4	0	0
kinase suppressor of ras [Homo sapiens]	Protein	KSR1	2	1	1.141933792
kinase suppressor of ras 1 [Homo sapiens]	Protein	KSR1	2	1	1.141933792
ER degradation enhancer, mannosidase alpha-like 1 [Homo sapiens]	Protein	EDEM1	3	1	0.803166422
arrestin 3, retinal (X-arrestin) [Homo sapiens]	Protein	ARR3	9	1	1.316142595
spermidine synthase [Homo sapiens]	Protein	SRM	7	0	1.112531807
cytokine-inducible SH2-containing protein [Homo sapiens]	Protein	CISH	6	1	0.863188941
hemochromatosis protein isoform 1 precursor [Homo sapiens]	Protein	HFE	8	1	0.885228496
vitronectin precursor [Homo sapiens]	Protein	VTN	26	1	0.908180039
tumor necrosis factor ligand superfamily, member 14 isoform 1 precursor [Homo sapiens]	Protein	TNFSF14	6	0	0.539933451
microfibrillar-associated protein 1 [Homo sapiens]	Protein	MFAP1	2	0	1.039845038
NF-kappaB activating protein [Homo sapiens]	Protein	NKAP	7	0	0.755492399
spindle pole body component 25 [Homo sapiens]	Protein	SPBC25	5	0	0.63985833
spindle pole body component 25 homolog (S. cerevisiae) [Homo sapiens]	Protein	SPBC25	5	0	0.63985833
UCH interacting protein 1 isoform a [Homo sapiens]	Protein	UIP1	4	1	0.787493264
WD repeat domain 35 isoform 1 [Homo sapiens]	Protein	WDR35	2	1	0.512642987
TUBA1C protein.	Protein		1	0	0
olfactory receptor, family 10, subfamily J, member 1 [Homo sapiens]	Protein	OR10J1	2	0	0.652992958
ribonuclease P (30kD) [Homo sapiens]	Protein	RPP30	8	1	1.092873714
spen homolog, transcriptional regulator [Homo sapiens]	Protein	SPEN	14	0	1.068144095
RAD50 interactor 1 [Homo sapiens]	Protein	RINT1	7	2	1.011444029
Rad50-interacting protein 1 [Homo sapiens]	Protein	RINT1	7	2	1.011444029
nuclear receptor coactivator 6 [Homo sapiens]	Protein	NCOA6	4	2	0.978095627
hypothetical protein LOC79657 [Homo sapiens]	Protein	FLJ21908	3	0	1.125057555
phosphoinositide-3-kinase, regulatory subunit 3 (p55, gamma) [Homo sapiens]	Protein	PIK3R3	8	1	1.174817978
von Hippel-Lindau binding protein 1 [Homo sapiens]	Protein	VBP1	2	2	1.178918557
actin-like 6B [Homo sapiens]	Protein	ACTL6B	5	2	1.147405373
cullin 3 [Homo sapiens]	Protein	CUL3	5	3	1.332618498
ribophorin I precursor [Homo sapiens]	Protein	RPN1	15	1	0.904851872
prostaglandin E synthase 2 isoform 3 [Homo sapiens]	Protein	PTGES2	4	2	0.863921705
tumor necrosis factor receptor superfamily, member 19 isoform 2 precursor [Homo sapiens]	Protein	TNFRSF19	8	0	0.608949204
RWD domain containing 1 isoform b [Homo sapiens]	Protein	RWDD1	4	0	1.119315401
programmed cell death 4 isoform 1 [Homo sapiens]	Protein	PDCD4	3	2	0.875147104
N-acetyltransferase 5 isoform a [Homo sapiens]	Protein	NAT5	2	0	0.750472367
KDEL receptor 2 [Homo sapiens]	Protein	KDELR2	2	1	1.055085983
CD44 antigen isoform 1 precursor [Homo sapiens]	Protein	CD44	29	3	0.922313284
sacsin [Homo sapiens]	Protein	SACS	4	1	1.3853063
B-cell CLL/lymphoma 10 [Homo sapiens]	Protein	BCL10	26	2	0.842606698
ubiquitin protein ligase E3A isoform 3 [Homo sapiens]	Protein	UBE3A	27	2	1.177719494
inter-alpha (globulin) inhibitor H1 [Homo sapiens]	Protein	ITIH1	2	1	0.918850603
hypothetical protein LOC343069 [Homo sapiens]	Protein	HNRPCL1	2	0	0.362983417
tousled-like kinase 2 [Homo sapiens]	Protein	TLK2	6	0	1.096711714
retinitis pigmentosa GTPase regulator interacting protein 1 [Homo sapiens]	Protein	RPGRIP1	4	1	0.650401117
protease, serine, 1 preproprotein [Homo sapiens]	Protein	PRSS1	10	1	1.083338443
PTK2B protein tyrosine kinase 2 beta isoform a [Homo sapiens]	Protein	PTK2B	52	1	0.863573281
aldehyde dehydrogenase 9A1 [Homo sapiens]	Protein	ALDH9A1	26	1	1.163237311
p21-activated kinase 7 [Homo sapiens]	Protein	PAK7	11	1	0.906272743
COP9 constitutive photomorphogenic homolog subunit 2 [Homo sapiens]	Protein	COPS2	13	1	1.104502352
complement factor B preproprotein [Homo sapiens]	Protein	CFB	10	1	1.039564561
complement factor B [Homo sapiens]	Protein	CFB	9	1	1.039564561
peripherin [Homo sapiens]	Protein	PRPH	4	1	0.673727191
hypothetical protein LOC9694 [Homo sapiens]	Protein	KIAA0103	5	0	1.132796641
nuclear antigen Sp100 [Homo sapiens]	Protein	SP100	9	0	0.921271078
upstream stimulatory factor 1 isoform 1 [Homo sapiens]	Protein	USF1	54	1	0.428060277
membrane-spanning 4-domains, subfamily A, member 5 [Homo sapiens]	Protein	MS4A5	2	0	0.89683237
centrosomal protein 2 isoform 2 [Homo sapiens]	Protein	CEP250	2	1	0.78682143
polyductin isoform 1 [Homo sapiens]	Protein	PKHD1	2	1	0.434139702
HECT domain containing 1 [Homo sapiens]	Protein	HECTD1	2	1	0.727413919
G-protein signalling modulator 2 (AGS3-like, C. elegans) [Homo sapiens]	Protein	GPSM2	10	2	1.181480247
transient receptor potential cation channel, subfamily V, member 5 [Homo sapiens]	Protein	TRPV5	3	0	0.829501751
chromodomain helicase DNA binding protein 8 [Homo sapiens]	Protein	CHD8	4	1	0.882337675
brain-derived neurotrophic factor isoform a preproprotein [Homo sapiens]	Protein	BDNF	8	2	1.485273819
ADP-ribosylation factor domain protein 1 isoform alpha [Homo sapiens]	Protein	TRIM23	19	0	1.361250368
chromatin modifying protein 5 [Homo sapiens]	Protein	CHMP5	3	1	1.027484343
immediate early response 3 interacting protein 1 [Homo sapiens]	Protein	IER3IP1	3	0	1.201566237
CDNA FLJ25678 fis, clone TST04067, highly similar to PURINE NUCLEOSIDE PHOSPHORYLASE	Protein		2	0	0
ubiquitin specific protease 2 isoform b [Homo sapiens]	Protein	USP2	10	2	2.452738001
transmembrane protein 113 [Homo sapiens]	Protein	TMEM113	2	1	1.100122936
hypothetical protein PRO2730 [Homo sapiens]	Protein	TMEM113	2	1	1.100122936
lectin, mannose-binding, 1 precursor [Homo sapiens]	Protein	LMAN1	3	1	1.151353103
zinc finger protein 91 isoform 1 [Homo sapiens]	Protein	ZFP91	2	1	0.762103633
lipoxygenase homology domains 1 [Homo sapiens]	Protein	LOXHD1	2	0	0.673738573
actinin, alpha 2 [Homo sapiens]	Protein	ACTN2	18	1	2.646834153
mevalonate kinase [Homo sapiens]	Protein	MVK	6	1	0.822117668
calcitonin isoform CALCA preproprotein [Homo sapiens]	Protein	CALCA	3	1	0.858493683
hypothetical protein LOC84310 [Homo sapiens]	Protein	MGC11257	4	1	0.501819718
ninein isoform 4 [Homo sapiens]	Protein	NIN	5	2	1.277683278
erythrocyte membrane protein band 4.9 (dematin) [Homo sapiens]	Protein	EPB49	20	1	1.146738251
E74-like factor 2 (ets domain transcription factor) isoform 2 [Homo sapiens]	Protein	ELF2	2	1	0.974849039
mitochondrial ribosomal protein S7 [Homo sapiens]	Protein	MRPS7	2	1	1.13497595
CDNA FLJ13963 fis, clone Y79AA1001299, highly similar to Homo sapiens integrase interactor 1b protein	Protein		1	0	0
ring finger protein 123 [Homo sapiens]	Protein	RNF123	2	2	1.312448608
likely ortholog of kinesin light chain 2 [Homo sapiens]	Protein	KLC2	4	1	1.201118566
Similar to GNAS complex locus	Protein		1	0	0
olfactory receptor, family 3, subfamily A, member 2 [Homo sapiens]	Protein	OR3A2	2	1	0.920809357
leucine zipper protein 1 [Homo sapiens]	Protein	LUZP1	2	1	0.881200419
hypothetical protein LOC63932 [Homo sapiens]	Protein	CXorf56	2	2	1.116504551
chromosome X open reading frame 56 [Homo sapiens]	Protein	CXorf56	2	2	1.116504551
sphingosine-1-phosphate lyase 1 [Homo sapiens]	Protein	SGPL1	5	0	0.982776509
serum amyloid A-like 1 [Homo sapiens]	Protein	SAAL1	3	1	0.725069956
hypothetical protein LOC113174 [Homo sapiens]	Protein	SAAL1	3	1	0.725069956
polyamine N-acetyltransferase [Homo sapiens]	Protein	SAT2	8	1	0.73729718
gamma-aminobutyric acid (GABA) B receptor 1 isoform a precursor [Homo sapiens]	Protein	GABBR1	8	2	0.981731724
transmembrane protein 109 [Homo sapiens]	Protein	TMEM109	2	0	1.046720843
Fanconi anemia, complementation group E [Homo sapiens]	Protein	FANCE	7	2	1.077455797
reprimo, TP53 dependant G2 arrest mediator candidate [Homo sapiens]	Protein	RPRM	6	1	0.777716671
intercellular adhesion molecule 3 precursor [Homo sapiens]	Protein	ICAM3	11	0	1.002748103
erythrocyte membrane protein band 4.1 like 5 [Homo sapiens]	Protein	EPB41L5	3	1	0.953994489
POU domain, class 3, transcription factor 3 [Homo sapiens]	Protein	POU3F3	4	1	1.018959615
adaptor-related protein complex 2, sigma 1 subunit isoform AP17 [Homo sapiens]	Protein	AP2S1	5	1	0.938768499
codanin 1 [Homo sapiens]	Protein	CDAN1	3	0	0.56627762
hypothetical protein LOC51534 [Homo sapiens]	Protein	C6orf55	15	1	0.816326515
hypothetical protein LOC11161 [Homo sapiens]	Protein	C14orf1	57	1	1.001712093
transmembrane protein 111 [Homo sapiens]	Protein	TMEM111	2	0	1.1098713
hypothetical protein LOC55831 [Homo sapiens]	Protein	TMEM111	2	0	1.1098713
ERBB2 interacting protein isoform 7 [Homo sapiens]	Protein	ERBB2IP	19	1	1.03237283
F-box and leucine-rich repeat protein 11 [Homo sapiens]	Protein	FBXL11	3	0	0.940383308
PYD and CARD domain containing isoform a [Homo sapiens]	Protein	PYCARD	7	1	0.623706781
RAS guanyl releasing protein 3 (calcium and DAG-regulated) [Homo sapiens]	Protein	RASGRP3	3	2	1.459474085
golgi associated PDZ and coiled-coil motif containing isoform b [Homo sapiens]	Protein	GOPC	16	1	0.789075637
ELK4 protein isoform a [Homo sapiens]	Protein	ELK4	37	1	1.073434179
deafness locus associated putative guanine nucleotide exchange factor [Homo sapiens]	Protein	SERGEF	3	1	1.105790416
secretion regulating guanine nucleotide exchange factor [Homo sapiens]	Protein	SERGEF	3	1	1.105790416
placental protein 13 [Homo sapiens]	Protein	LGALS13	11	0	0.7630098
Golgi autoantigen, golgin subfamily a, 3 [Homo sapiens]	Protein	GOLGA3	7	1	1.06867854
hypothetical protein LOC84246 [Homo sapiens]	Protein	MED10	71	1	0.600012327
mediator of RNA polymerase II transcription, subunit 10 homolog (NUT2, S. cerevisiae) [Homo sapiens]	Protein	MED10	71	1	0.600012327
IQ motif containing GTPase activating protein 3 [Homo sapiens]	Protein	IQGAP3	2	1	0.680633906
glutathione-S-transferase omega 1 [Homo sapiens]	Protein	GSTO1	27	2	1.047660351
tumor protein p53 binding protein, 2 isoform 2 [Homo sapiens]	Protein	TP53BP2	16	0	0.931990695
TBC1 domain family, member 15 [Homo sapiens]	Protein	TBC1D15	2	0	0.974770527
zinc metalloproteinase STE24 homolog [Homo sapiens]	Protein	ZMPSTE24	2	1	0.98208555
leucine proline-enriched proteoglycan (leprecan) 1 [Homo sapiens]	Protein	LEPRE1	2	2	0.856556734
ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1 isoform B [Homo sapiens]	Protein	ATP6V1C1	5	3	1.039963137
hypothetical protein LOC25980 [Homo sapiens]	Protein	C20orf4	4	1	0.911659648
mitochondrial ribosomal protein L24 [Homo sapiens]	Protein	MRPL24	2	1	1.12695676
mitogen-activated protein kinase kinase 2 [Homo sapiens]	Protein	MAP2K2	17	2	0.975370818
family with sequence similarity 120A [Homo sapiens]	Protein	FAM120A	2	1	1.066547931
unc-51-like kinase 2 [Homo sapiens]	Protein	ULK2	7	1	1.146631943
caspase recruitment domain family, member 4 [Homo sapiens]	Protein	CARD4	12	1	0.724097567
nebulin [Homo sapiens]	Protein	NEB	6	2	2.298409853
cystatin SA precursor [Homo sapiens]	Protein	CST2	4	0	0.765977025
Rab acceptor 1 [Homo sapiens]	Protein	RABAC1	43	1	1.004858792
translocase of inner mitochondrial membrane 8 homolog A [Homo sapiens]	Protein	TIMM8A	4	0	1.094145955
H3 histone family, member M [Homo sapiens]	Protein	HIST2H3C	4	0	0
histone 2, H3, pseudogene 2 [Homo sapiens]	Protein	HIST2H3PS2	4	0	0
histone H3/o [Homo sapiens]	Protein	HIST2H3A	6	0	0.325570347
beta-2-microglobulin precursor [Homo sapiens]	Protein	B2M	22	2	1.058833349
Sjogren's syndrome/scleroderma autoantigen 1 [Homo sapiens]	Protein	SSSCA1	31	0	0.90004445
pygopus homolog 2 [Homo sapiens]	Protein	PYGO2	4	1	0.694822557
CDC42-binding protein kinase beta [Homo sapiens]	Protein	CDC42BPB	8	2	1.149967721
UDP-glucose pyrophosphorylase 2 isoform b [Homo sapiens]	Protein	UGP2	7	2	1.083523787
ephrin receptor EphB6 precursor [Homo sapiens]	Protein	EPHB6	7	2	0.800923778
methyl-CpG binding domain protein 4 [Homo sapiens]	Protein	MBD4	5	1	0.905600583
glutaryl-Coenzyme A dehydrogenase isoform a precursor [Homo sapiens]	Protein	GCDH	6	2	0.870298193
hypothetical protein LOC64943 [Homo sapiens]	Protein	NT5DC2	3	1	0.768386427
5'-nucleotidase domain containing 2 [Homo sapiens]	Protein	NT5DC2	3	1	0.768386427
centrosomal protein 135kDa [Homo sapiens]	Protein	CEP135	2	0	0.845386902
centrosome protein 4 [Homo sapiens]	Protein	CEP135	2	0	0.845386902
beta-galactoside-binding lectin precursor [Homo sapiens]	Protein	LGALS1	16	1	1.144898961
ribosomal protein L10-like protein [Homo sapiens]	Protein	RPL10L	2	0	1.097278178
cAMP responsive element binding protein 3-like 3 [Homo sapiens]	Protein	CREB3L3	9	1	0.741331323
villin 1 [Homo sapiens]	Protein	VIL1	3	0	0.753029344
Hypoxia-inducible factor 1, alpha subunit	Protein		1	0	0
erbB-3 isoform s precursor [Homo sapiens]	Protein	ERBB3	41	2	0.785487491
transforming, acidic coiled-coil containing protein 2 isoform d [Homo sapiens]	Protein	TACC2	5	1	1.788153007
mitochondrial ribosomal protein L13 [Homo sapiens]	Protein	MRPL13	2	2	1.031896356
CDNA FLJ42230 fis, clone THYMU3000036.	Protein		1	0	0
septin 9 [Homo sapiens]	Protein	sep-09	9	2	0.936117543
spire homolog 1 [Homo sapiens]	Protein	SPIRE1	2	0	0.925783656
transducin-like enhancer protein 2 [Homo sapiens]	Protein	TLE2	9	0	1.169038705
keratin associated protein 9.2 [Homo sapiens]	Protein	KRTAP9-2	2	0	0.32649051
angiopoietin-like 3 precursor [Homo sapiens]	Protein	ANGPTL3	4	1	0.945528151
kinesin family member 4 [Homo sapiens]	Protein	KIF4A	5	1	0.455353024
glycogenin 2 [Homo sapiens]	Protein	GYG2	9	0	0.768744011
choline/ethanolamine kinase isoform a [Homo sapiens]	Protein	CHKB	6	1	0.969263522
type I hair keratin 8 [Homo sapiens]	Protein	KRTHA8	2	0	0.766457608
Serologically defined breast cancer antigen NY-BR-16.	Protein		1	0	0
adaptor-related protein complex 2, mu 1 subunit isoform b [Homo sapiens]	Protein	AP2M1	26	0	0.985380153
suppressor of G2 allele of SKP1 [Homo sapiens]	Protein	SUGT1	2	0	0.641878064
nuclear receptor subfamily 5, group A, member 2 isoform 2 [Homo sapiens]	Protein	NR5A2	6	0	1.068959108
asialoglycoprotein receptor 2 isoform a [Homo sapiens]	Protein	ASGR2	4	1	0.712271736
ubiquitously-expressed transcript isoform 2 [Homo sapiens]	Protein	UXT	3	1	1.037366542
homolog of yeast ribosome biogenesis regulatory protein RRS1 [Homo sapiens]	Protein	RRS1	3	1	1.143558352
ankyrin repeat and sterile alpha motif domain containing 1 [Homo sapiens]	Protein	ANKS1A	2	1	1.069295999
amyloid beta A4 precursor protein-binding, family A, member 1 [Homo sapiens]	Protein	APBA1	20	1	1.214070056
ankyrin repeat and sterile alpha motif domain containing 1A [Homo sapiens]	Protein	ANKS1A	2	1	1.069295999
serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 3 [Homo sapiens]	Protein	SERPINB3	8	0	0.547268133
vav 2 oncogene [Homo sapiens]	Protein	VAV2	12	1	0.877412511
sphingosine kinase 1 isoform 1 [Homo sapiens]	Protein	SPHK1	7	2	1.053402036
FLJ20489 [Homo sapiens]	Protein	FLJ20489	2	0	1.107567524
dystrobrevin, beta isoform 1 [Homo sapiens]	Protein	DTNB	12	1	0.843332997
zinc finger, HIT domain containing 1 [Homo sapiens]	Protein	ZNHIT1	9	1	1.063711959
LIM domain only 3 [Homo sapiens]	Protein	LMO3	22	1	0.583207598
adhesion regulating molecule 1 precursor [Homo sapiens]	Protein	ADRM1	3	1	1.001228627
spectrin domain with coiled-coils 1 NSP5a3a [Homo sapiens]	Protein	SPECC1	2	1	0.459058664
platelet-derived growth factor receptor beta precursor [Homo sapiens]	Protein	PDGFRB	51	3	1.715269949
WD repeat domain 37 [Homo sapiens]	Protein	WDR37	3	1	1.121143032
thimet oligopeptidase 1 [Homo sapiens]	Protein	THOP1	4	0	0.942410846
homeobox B1 [Homo sapiens]	Protein	HOXB1	18	0	0.836433861
serum amyloid A4, constitutive [Homo sapiens]	Protein	SAA4	3	1	0.814141966
3'-phosphoadenosine 5'-phosphosulfate synthase 2 isoform a [Homo sapiens]	Protein	PAPSS2	10	1	1.053260418
myelin basic protein isoform 1 [Homo sapiens]	Protein	MBP	27	2	1.12617329
intraflagellar transport 88 homolog isoform 2 [Homo sapiens]	Protein	IFT88	2	2	0.855778958
ephrin receptor EphB1 precursor [Homo sapiens]	Protein	EPHB1	12	0	1.380678747
zinc finger protein 36, C3H type, homolog [Homo sapiens]	Protein	ZFP36	13	1	0.997919716
NCK interacting protein with SH3 domain isoform 1 [Homo sapiens]	Protein	NCKIPSD	6	1	0.92370671
glycophorin A precursor [Homo sapiens]	Protein	GYPA	3	1	0.593035926
cytochrome b, alpha polypeptide [Homo sapiens]	Protein	CYBA	5	2	0.713322754
brain abundant, membrane attached signal protein 1 [Homo sapiens]	Protein	BASP1	2	2	0.947975849
putative N-acetyltransferase Camello 2 [Homo sapiens]	Protein	CML2	2	2	0.827625018
bromodomain adjacent to zinc finger domain, 1A isoform a [Homo sapiens]	Protein	BAZ1A	6	0	0.954394637
v-akt murine thymoma viral oncogene homolog 2 [Homo sapiens]	Protein	AKT2	16	0	1.122584101
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2 isoform b [Homo sapiens]	Protein	PFKFB2	10	2	0.995064744
NMDA receptor 1 isoform NR1-1 precursor [Homo sapiens]	Protein	GRIN1	5	1	0.987776021
numb homolog isoform 1 [Homo sapiens]	Protein	NUMB	13	1	0.946610014
ADP-ribosylation factor 4 [Homo sapiens]	Protein	ARF4	3	4	1.043879844
ZW10 interactor isoform b [Homo sapiens]	Protein	ZWINT	13	1	0.688448477
